"Data Source","World Development Indicators",

"Last Updated Date","2024-02-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5273008256127","15.5970728695614","15.6704448398866","15.7693477169319","15.8502662887878","15.9908298361322","16.1264765004586","16.2425075830899","16.339918162639","16.4910716340111","16.5565315378229","16.5138100967935","16.4218498522645","16.4707848661313","16.2531530904044","16.4570213255023","16.7905588331275","17.2706386489615","17.366526244644","16.7344096374334","17.1752312255566","17.7338860605241","18.2294050002256","18.6453410285157","18.9132274848733","18.9965229973925","19.2801222245202","19.376304100606","19.3770040483788","18.8524982590396","18.956560769416","20.1646705206182",
"Afghanistan","AFG","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.713572854291417","0.765669238883029","0.856334420924695","0.906446617653214","0.968554822897057","0.990265593077755","1.08442375992032","1.19570328482532","1.33584959323098","1.47792539518632","1.64906124647831","1.43090887683194","1.52807431337261","1.68568988550633","1.68201329854389","1.7776704579908","1.701050645732","1.77596942022237","1.83091828024573","1.94818580262974","2.39708565095114","2.61270320237759","3.060037852617","3.62920391656024","4.34682453457847","5.10378533965672","5.98066464037419","6.79286733770535","7.60826738585308","7.59819952807953","8.47114379505803","8.87820208030503",
"Africa Western and Central","AFW","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.19153586283797","8.28192222622775","8.4083932805116","8.56693843365099","8.71633368882267","8.86283672887424","9.037937041312","9.1932364102618","9.4392522249502","9.74549864327954","9.91183611138569","10.0079329090198","10.1605043798031","10.2940611567336","10.4397692996498","10.5810208724848","10.8807461814461","11.202623266182","11.4979985499718","11.8468912910403","12.1997172284884","12.2395082763377","12.0544036296909","12.3167612901751","12.702198096872","12.8863586295012","12.6721003655686","12.9889188729944","13.2342940789391","13.0550820474389","13.1751135395181","13.8388671953457",
"Angola","AGO","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6512839318944","12.670861553142","12.6355018553047","12.8144819411052","12.8179671602579","12.9268099258959","12.9380872092313","13.153789579254","13.7249223072533","13.8517413134823","13.8416991353064","13.5394256214639","13.6739186158283","13.9750021267179","14.5504183346636","14.8850915396691","15.5370465118391","15.946976664076","15.6733250821473","16.1654218606861","16.2935454859372","19.3013259179427","22.4509617532463","25.851453502593","25.8125821808402","25.859939250964","25.959507665586","26.0535058905706","25.7848704487342","25.7160512483149","25.8675836437808","26.8018218335738",
"Albania","ALB","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3781832536848","32.5956158855361","32.5688897851112","32.7455517768766","33.0598318780322","32.9576737783895","33.3760252660465","33.7932874813852","34.6486812080389","35.5931397036086","36.5883064728268","37.6052309841935","38.7661202185792","39.744329336103","39.4340903712649","40.8091290467035","42.0048234382028","32.9531674588633","34.2869673007818","37.0014053719851","34.9105531528899","32.0778321027732","37.1457852356552","41.3106959550917","42.742811546626","43.2672539220648","45.0597359449096","47.0280602577351","47.8927850453992","48.0170272877095","48.7680916195748","49.5734755734008",
"Andorra","AND","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7988619486932","49.4997348972897","49.7227687584695","49.8469239844967","50.9004757671751","51.4921890355075","52.0171588421418","53.5457051351094","54.7364180880591","53.3458344335011","55.889497854562","57.2875432714068","55.332828262117","53.6917825658739","54.8071328914851","56.4407958328859","55.4857490675602","57.2580591131791","58.0345153539996","58.7683623289669","60.1198329929287","61.5407898305784","60.8215937862913","60.691931904297","62.0579033663688","66.5296868697158","66.5581170617054","66.8680774262705","67.903830258617","68.513137951413","68.6529326841389","69.3836782071311",
"United Arab Emirates","ARE","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.689381933439","99.6810154064548","99.6720354539659","99.6662982791038","99.6607413976111","99.6526593270275","99.6446982223468","99.6182643400975","99.5941036172673","99.585858765397","99.5427407517358","99.4911185421524","99.4556723447933","99.4222853750142","99.3644171929911","99.2297705705197","98.9890276799217","98.6604682064255","98.4188128774215","98.2856605810157","98.3200352296014","98.3552254270124","98.4082455052697","98.7404637620126","98.730930041294","98.6906051948905","98.1569689830384","96.2456452341734","94.4978320298276","96.2307961319811","96.6604192632437","96.4685673732937",
"Argentina","ARG","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.6860874125084","74.5803050874531","74.4720533371954","74.6212815472597","74.8827990052757","74.2995555535004","75.0029617214761","75.480501383295","75.8578119030497","76.4096021011035","76.1389527458493","78.1895462079436","78.8175979791056","79.0048137662755","79.4814081688265","80.2387422753462","80.9342604841564","80.8238982747718","80.1520641097625","80.6729639417656","81.3371031769707","81.3043299636773","80.9115034509224","80.5345927035615","79.6774107797782","79.0643113460867","78.2545034774074","77.4683806709937","76.6282603526638","75.5634709168252","75.0181487276715","74.94916709604",
"Armenia","ARM","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6661875910628","32.6292122765925","32.4323531998476","32.5941354429782","32.5680827544624","32.693688867068","32.7255553695689","32.5736120550488","32.4938764553904","32.4583463795826","32.0547097576875","31.9800615437189","31.9760678078777","31.8050544430185","32.0000830552845","32.0018053190633","32.0803858320672","32.2341244945244","31.9208957215765","32.1097784861973","32.0627806127533","32.2136552875165","32.366466818467","32.5077926459709","32.7709131386498","32.9873845143741","33.2791477881922","33.5111232099672","35.8895770810719","36.0583789371551","32.8413679524308","32.9756960237474",
"American Samoa","ASM","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","SL.EMP.WORK.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
